S. No.,State/ UT,Pedestrian - Male - 2014,Pedestrian - Female - 2014,Pedestrian - Total - 2014,Bycycles - Male - 2014,Bycycles - Female - 2014,Bycycles - Total - 2014,"Motor Cycle, Scooters - Male - 2014","Motor Cycle, Scooters - Female - 2014","Motor Cycle, Scooters - Total - 2014",Auto Rickshaw - Male - 2014,Auto Rickshaw - Female - 2014,Auto Rickshaw - Total - 2014,"Car,Taxies - Male - 2014","Car,Taxies - Female - 2014","Car,Taxies - Total - 2014",Trucks - Male - 2014,Trucks - Female - 2014,Trucks - Total - 2014,Buses - Male - 2014,Buses - Female - 2014,Buses - Total - 2014,Other M. Vehicle - Male - 2014,Other M. Vehicle - Female - 2014,Other M. Vehicle - Total - 2014,Others* - Male - 2014,Others* - Female - 2014,Others* - Total - 2014,Pedestrian - Male - 2016,Pedestrian - Female - 2016,Pedestrian - Total - 2016,Bycycles - Male - 2016,Bycycles - Female - 2016,Bycycles - Total - 2016,Motor Cycles - Male - 2016,Motor Cycles - Female - 2016,Motor Cycles - Total - 2016,Scooters - Male - 2016,Scooters - Female - 2016,Scooters - Total - 2016,Mopeds - Male - 2016,Mopeds - Female - 2016,Mopeds - Total - 2016,Auto Rickshaws - Male - 2016,Auto Rickshaws - Female - 2016,Auto Rickshaws - Total - 2016,"Cars, taxies Vans &LMV - Male - 2016","Cars, taxies Vans &LMV - Female - 2016","Cars, taxies Vans &LMV - Total - 2016",Trucks - Male - 2016,Trucks - Female - 2016,Trucks - Total - 2016,Buses - Male - 2016,Buses - Female - 2016,Buses - Total - 2016,Other Motor vehicles - Male - 2016,Other Motor vehicles - Female - 2016,Other Motor vehicles - Total - 2016,Animal Drawn Vehicles - Male - 2016,Animal Drawn Vehicles - Female - 2016,Animal Drawn Vehicles - Total - 2016,Cycle Rickshaws - Male - 2016,Cycle Rickshaws - Female - 2016,Cycle Rickshaws - Total - 2016,E-Rickshaw - Male - 2016,E-Rickshaw - Female - 2016,E-Rickshaw - Total - 2016,Hand Carts & rickshaws - Male - 2016,Hand Carts & rickshaws - Female - 2016,Hand Carts & rickshaws - Total - 2016,Other Persons - Male - 2016,Other Persons - Female - 2016,Other Persons - Total - 2016
1,Andhra Pradesh,57,15,72,185,45,230,1493,226,1719,414,50,464,379,56,435,568,34,602,161,24,185,3164,970,4134,45,22,67,1049,202,1251,154,2,156,2204,252,2456,74,17,91,104,11,115,686,166,852,948,133,1081,889,80,969,395,47,442,831,107,938,8,0,8,4,0,4,1,0,1,1,0,1,161,15,176
2,Arunachal Pradesh,0,0,0,0,0,0,20,3,23,15,3,18,20,5,25,17,3,20,8,3,11,16,6,22,0,0,0,0,0,0,1,0,1,27,5,32,8,2,10,0,0,0,14,5,19,27,8,35,17,4,21,1,0,1,24,5,29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,49,4,53,27,1,28,504,33,537,61,14,75,432,101,533,426,10,436,179,68,247,493,108,601,12,0,12,24,0,24,11,0,11,451,26,477,43,19,62,65,10,75,53,19,72,669,109,778,571,0,571,151,91,242,198,24,222,0,0,0,0,0,0,6,0,6,8,0,8,24,0,24
4,Bihar,109,35,144,119,32,151,760,60,820,86,58,144,633,155,788,783,136,919,420,123,543,929,82,1011,325,68,393,161,39,200,115,16,131,755,131,886,24,38,62,18,45,63,177,39,216,635,141,776,922,57,979,415,151,566,696,117,813,10,0,10,29,5,34,0,0,0,21,0,21,133,11,144
5,Chhattisgarh,73,7,80,33,10,43,981,145,1126,31,6,37,580,68,648,710,34,744,155,34,189,983,161,1144,11,0,11,41,8,49,21,7,28,1018,103,1121,17,20,37,78,20,98,23,12,35,445,122,567,836,72,908,123,28,151,783,130,913,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Goa,56,12,68,6,0,6,171,18,189,0,1,1,16,1,17,3,0,3,0,0,0,1,0,1,5,0,5,56,3,59,2,0,2,128,1,129,94,5,99,0,0,0,0,0,0,35,3,38,2,0,2,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
7,Gujarat,592,122,714,118,5,123,1470,219,1689,482,114,596,1785,287,2072,1227,151,1378,333,105,438,640,160,800,133,12,145,589,108,697,124,4,128,1689,229,1918,159,56,215,145,53,198,502,166,668,1454,256,1710,1043,152,1195,364,92,456,718,86,804,25,1,26,1,1,2,0,0,0,15,2,17,90,12,102
8,Haryana,119,85,204,203,111,314,697,290,987,135,63,198,287,172,459,266,81,347,198,73,271,412,163,575,685,443,1128,1416,180,1596,95,7,102,1151,108,1259,117,20,137,29,15,44,144,54,198,759,82,841,267,10,277,123,28,151,314,24,338,17,3,20,23,0,23,20,2,22,9,2,11,5,0,5
9,Himachal Pradesh,0,0,0,0,0,0,165,33,198,7,0,7,391,59,450,105,11,116,292,54,346,78,4,82,0,0,0,171,43,214,0,0,0,267,28,295,0,0,0,8,2,10,2,0,2,413,83,496,52,4,56,70,29,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,39,99
10,Jammu & Kashmir,15,10,25,5,0,5,211,25,236,41,21,62,224,34,258,105,3,108,143,34,177,102,19,121,0,0,0,47,11,58,1,0,1,141,17,158,31,3,34,0,0,0,9,1,10,191,40,231,121,11,132,59,29,88,205,14,219,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27
11,Jharkhand,62,12,74,31,1,32,620,98,718,176,36,212,333,55,388,361,33,394,266,90,356,243,27,270,104,80,184,8,2,10,0,1,1,530,58,588,243,75,318,101,49,150,109,33,142,312,42,354,4,0,4,391,0,391,592,40,632,3,0,3,9,0,9,0,0,0,0,0,0,425,0,425
12,Karnataka,1265,193,1458,280,38,318,2713,278,2991,459,100,559,1310,226,1536,1177,149,1326,721,109,830,641,118,759,632,43,675,371,228,599,60,6,66,3268,339,3607,627,98,725,91,13,104,461,107,568,1576,296,1872,1139,97,1236,630,109,739,1221,153,1374,6,2,8,0,1,1,0,0,0,2,0,2,203,29,232
13,Kerala,979,296,1275,121,5,126,1400,182,1582,236,39,275,317,114,431,129,17,146,143,30,173,21,4,25,16,0,16,964,282,1246,108,4,112,1383,106,1489,189,110,299,23,3,26,253,43,296,320,107,427,146,18,164,157,31,188,23,5,28,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
14,Madhya Pradesh,1459,308,1767,161,40,201,2448,395,2843,160,36,196,922,210,1132,624,90,714,286,76,362,652,204,856,408,90,498,1334,293,1627,144,22,166,3077,379,3456,127,21,148,72,35,107,176,41,217,1297,208,1505,656,58,714,403,65,468,723,98,821,9,3,12,4,0,4,0,0,0,21,0,21,351,29,380
15,Maharashtra,469,123,592,291,42,333,3982,623,4605,726,156,882,1610,208,1818,1568,100,1668,543,555,1098,1090,134,1224,465,118,583,1656,447,2103,348,51,399,4880,516,5396,324,100,424,211,50,261,578,87,665,1186,190,1376,723,34,757,279,17,296,976,70,1046,7,0,7,2,0,2,0,0,0,1,0,1,181,21,202
16,Manipur,0,0,0,0,0,0,30,3,33,5,0,5,27,3,30,42,5,47,10,0,10,38,5,43,0,0,0,1,3,4,0,0,0,9,0,9,5,0,5,0,0,0,1,1,2,15,5,20,22,6,28,3,1,4,8,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Meghalaya,4,2,6,0,0,0,2,2,4,5,2,7,18,4,22,21,5,26,14,9,23,46,7,53,0,0,0,24,8,32,1,0,1,10,5,15,3,2,5,0,0,0,5,0,5,18,5,23,17,2,19,27,5,32,14,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Mizoram,10,7,17,0,0,0,17,2,19,0,0,0,27,9,36,25,3,28,2,1,3,0,0,0,0,0,0,3,1,4,0,0,0,12,1,13,1,0,1,0,0,0,1,4,5,18,7,25,16,1,17,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
19,Nagaland,5,1,6,0,0,0,23,2,25,12,3,15,0,0,0,13,3,16,19,0,19,0,0,0,0,0,0,1,0,1,0,0,0,5,1,6,3,0,3,0,0,0,0,0,0,22,3,25,4,0,4,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Orissa,232,33,265,109,12,121,932,120,1052,167,28,195,569,109,678,613,47,660,317,47,364,518,50,568,26,2,28,204,47,251,57,4,61,1165,171,1336,135,25,160,52,34,86,149,37,186,638,78,716,741,59,800,283,32,315,420,68,488,0,0,0,0,0,0,8,1,9,0,0,0,55,0,55
21,Punjab,294,45,339,209,18,227,1617,333,1950,90,23,113,707,105,812,310,25,335,304,60,364,343,42,385,82,14,96,373,60,433,186,16,202,1437,149,1586,238,90,328,43,30,73,65,14,79,914,153,1067,314,29,343,190,44,234,630,31,661,22,0,22,43,0,43,2,0,2,1,0,1,0,3,3
22,Rajasthan,848,173,1021,122,16,138,2192,324,2516,153,19,172,2019,347,2366,1664,90,1754,613,102,715,1378,152,1530,70,7,77,740,158,898,118,14,132,2394,279,2673,146,37,183,57,15,72,212,37,249,2361,400,2761,1427,81,1508,507,93,600,1156,134,1290,7,1,8,2,1,3,0,1,1,4,3,7,72,8,80
23,Sikkim,0,0,0,0,0,0,10,0,10,0,0,0,35,14,49,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,0,6,5,11,0,0,0,0,0,0,0,0,0,28,21,49,0,0,0,0,0,0,12,8,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
24,Tamil Nadu,1987,580,2567,433,31,464,4590,643,5233,231,108,339,2422,483,2905,1015,118,1133,1647,336,1983,369,116,485,64,17,81,2242,724,2966,318,19,337,5145,513,5658,499,128,627,663,126,789,261,95,356,2484,424,2908,822,137,959,1182,283,1465,946,193,1139,8,0,8,3,0,3,3,0,3,0,0,0,0,0,0
25,Telangana,0,0,0,84,199,283,1896,743,2639,1001,75,1076,200,32,232,911,54,965,907,28,935,544,22,566,135,75,210,503,116,619,37,2,39,2251,195,2446,59,1,60,73,13,86,489,110,599,872,164,1036,787,87,874,295,60,355,944,123,1067,2,0,2,1,0,1,0,0,0,0,0,0,33,2,35
